id_gi,Cita,Publicaciones
6-2,Cita 45,"Almonacid, S., Barahona, A., Simpson, R., Abakarov, A. (2010). Improvement of functional proporties of salmon processing protein-rich by-product through hydrolysis and maillard reaction. Journal of Biotechnology, 150S. 309."
6-2,Cita 46,"Simpson, R., Almonacid, S., Young, M., Acevedo, C. (2010). Chemometyric study of the anthocyanin pathway in carmenere grape. Journal of Biotechnology, 150S. 327."
6-2,Cita 47,"Simpson, R., Urtubia, A. Abakarov, A. and Almonacid, S. (2010). A study of different multi effect evaporators designed for thermal processing of tomato paste: optimization and quality evaluation. Journal of Biotechnology, 150S. 326."
6-2,Cita 48,"Tapia, F., Villalobos, P., Almonacid, S, Simpson, R., Young, M. (2010). Human cell line, caco-2, encapsulated in alginate and grown in an agitated bioreactor: a study of feasibility. Journal of Biotechnology, 150S. 301."
6-2,Cita 49,"Urtubia, A., Emparan, M., Almonacid, S., Pinto, M. and Valdenegro, M. (2010). Application of MPCA and MPLS on industrial batch bioprocesses. Journal of Biotechnology, 150S. 310."
6-2,Cita 50,"Valdenegro, M., Fuentes, L., Urtubia, A., Herrera, R., Moya-León, M. (2010). Modified atmosphere packaging preserves quality and antioxidant properties in Fragaria chiloensis. Journal of Biotechnology, 150S. 335."
6-2,Cita 51,"Guzman, F., Marshall, S., Cárdenas, C., Arenas, G., Mercado, L, Albericio, F. (2010). Antibacterial Activity of Short Cationic Model Peptides. Journal of Biotechnology. 150S. 204."
6-2,Cita 52,"Soto, C., Zúñiga, M. E. (2010). Polyunsaturated fatty acid enrichment using a Candida cylindracea lipase. Journal of Biotechnology. 150S. 416-417."
6-2,Cita 53,"Laroze L., Zúñiga, M. E. (2010). Effect of enzyme concentration on hydroethanolic extraction of phenolic antioxidants from raspberry residues. Journal of Biotechnology. 150. 338."
6-2,Cita 54,"Vega, R., Zúñiga, M.E. (2010). Sucrose Transfructosylation to Fructooligosaccharides by the Application of Commercial Enzymes. Journal of Biotechnology. 150S. 334"
6-2,Cita 55,"Correa, G., Silva, C., Poirrier, P. y Zuñiga, M. E. (2010). Technical And Economic Prefeasibility Of A Fructooligosaccharides Production Plant By Enzymatic Transformation Of Thick Sugar Beet Juice. Journal of Biotechnology, 150S. 337."
6-2,Cita 56,"Urtubia, A., Emparan, M., Román, C., Hernández, G. and Roger, J.M.. (2010). Multivariate Statistic and Pattern Recognition to detect abnormal fermentations in wine process. Journal of Biotechnology. 150S (1). 328."
6-2,Cita 57,"Zuñiga, M.E., Poirrier, P, Soto, C. (2010). Effect of solvent type on Rubus ulmifolius (Blackberry)’s phenolic antioxidant recovery. Journal of Biotechnology. 150S (1). 330."
6-2,Cita 58,"Correa, G., Siva, C., Poirrier, P., Zuñiga, M.E. (2010). Technical and economic prefeasibility of a fructooligosaccharides production plant by enzymatic transformation of thick sugar beet juice.  Journal of Biotechnology. 150S (1). 337."
6-2,Cita 59,"Zuñiga, M.E., Laroze, L. (2010). Effect of enzyme concentration on hydroethanolic extraction of phenolic antioxidant from raspberry residues. Journal of Biotechnology. 150S (1). 338."
6-2,Cita 60,"Soto, C., Zuñiga, M.E. (2010). Growth of Bifidobacterium breve bacteria using different corn oil amounts in the broth media. Journal of Biotechnology. 150S (1). 332."
6-2,Cita 61,"Abakarov, A., Teixeira, A., Simpson, R., Pinto, M., Almonacid, S. (2010). Modeling of squid protein hydrolysis: Artificial neural network approach. Journal of Food Process Engineering. 34 (6). 2026–2046. "
6-2,Cita 62,"Almonacid, S., Nájera, A., Young, M., Simpson, R., Acevedo, C. (2010). A comparative study of stout beer batch fermentation using free and microencapsulated yeasts. Food and Bioprocess Technology. [Disponible en línea]."
6-2,Cita 63,"Polanco, V., Paredes, M., Becerra, V., Pérez, E. (2010). Developing the technology to confer resistance to fungal diseases in apple crops: A Chilean perspective. Chilean Journal of agricultural research. 70 (2). 297-308. "
6-2,Cita 64,"Astudillo C., Parra, J. A., Gonzalez, S., Cancino B. (2010). A new parameter for membrane cleaning evaluation. Separation and Purification Technology, 73 (2). 286-293. "
6-2,Cita 65,"Simpson, R., Almonacid, S., Nuñez, H., Pinto, M., Abakarov, A. and Teixeira, A.  (2010). Time-temperature indicator to monitor cold chain distribution of fresh salmon (salmo salar). Journal of Food Process Engineering."
6-2,Cita 66,"Abakarov, A., Almonacid, S., Urtubia, A., Simpson, R. (2010). Optimal scheduling for retorts of different capacities in food canneries. Journal of Food Process Engineering."
6-2,Cita 67,"Abakarov, A., Teixeira, A., Simpson, R., Pinto, M. and Almonacid, S. (2010). Modeling of squid protein hydrolysis: artificial neural network approach. Journal of Food Process Engineering."
6-2,Cita 68,"Laroze, L., Soto, C. and Zuniga, M.E. (2010). Phenolic antioxidants extraction from raspberry wastes assisted by-enzymes. Electronic Journal of Biotechnology. 13 (6)."
6-2,Cita 69,"Laroze, L., Díaz, B., Moure, A., Zúñiga, M.E, Dominguez, H. (2010). Extraction of antioxidants from several berries pressing wastes using conventional and supercritical solvents. European Food Research and Technology. 231 (5). 669 – 677."
6-2,Cita 70,"Gutiérrez, J., Bejarano, A., De la Fuente, J.C. (2010). Measurement and modeling of high-pressure (vapor + liquid) equilibria of CO2 + alcohol binary systems. Journal of Chemical Thermodynamics, 42 (5). 591–596. "
6-2,Cita 71,"Cárdenas, C., Bidon, A., Conejeros, P., Arenas, G., Marshall, S., Luque, J. (2010). Molecular modeling of class I and II alleles of the major histocompatibility complex in Salmo salar. Journal of Computer-Aided Molecular Design. 24 (12). 1035-1051. "
6-2,Cita 72,"Abakarov, A., Simpson, R., Nuñez, H., Valencia, P., Almonacid, S. (2010). Modelling of protein hydrolysis kinetic: algorithms and software. Journal of Biotechnology, 150S. 299."
6-2,Cita 73,"Peña-Cortés, H., I. Ramírez, R. Simpson, A. Urtubia, and S. Almonacid. (2010). Enzymatic hydrolysate from squid processing waste as an organic fertilizer. Journal of Biotechnology, 150S. "
6-2,Cita 74,"Zúñiga, M.E., Laroze, L. (2009). Temperature effect on phenolic antioxidant extraction from raspberry wastes assisted by enzymes. New Biotechnology. 25. 170."
6-2,Cita 75,"Zúñiga, M.E., Laroze, L. (2009). Effect of ethanol concentration on enzymatically assisted phenolic antioxidant extraction from raspberry wastes. New Biotechnology. 25. 148."
6-2,Cita 76,"Zúñiga, M.E., Poirrier, P., Soto, C. (2009). Raw material pre-treatment effect on the phenolic antioxidants extraction of berries and their concentrated processing wastes. New Biotechnology. 25. 180."
6-2,Cita 77,"Abakarov, A., Sushkov, Y., Almonacid, S., Simpson, R. (2009). Multiobjective Optimization Approach: Thermal Food Processing. Journal of Food Science. 74 (9). 471-487. "
6-2,Cita 78,"Abakarov A., Almonacid, S., Simpson, R. (2009). Estimating reaction rates in squid protein hydrolysis using artificial neural networks. Transactions of the ASABE. 52 (6). 1969-1977. "
6-2,Cita 79,"Espinoza, L., Catalán, K., Madrid, A., Carrasco, H., Villena, J., Cuellar, M. (2009). Synthesis of Two New Hemisynthetic Diterpenylhydroquinones from Natural Ent-Labdanes. Molecules. 14. 2181-2194. "
6-2,Cita 80,"Espinoza, L., Madrid, A., Carrasco, H., Villena, J., Cuellar, M. (2010). Synthesis of nine safrole derivatives and their antiproliferative activity towards human cancer cells. Journal of the Chilean Chemical Society. 55 (2). 219-222. "
6-2,Cita 81,"Lutz, M., Segura, V., Cruz, A, López, A. (2009). Excreción urinaria de isoflavonas en adultos mayores de 60 años que consumen un alimento funcional. Revista Chilena de Nutrición. 36. 1098-1104."
6-3,Cita 1,"Vinet, R., Knox, M., Mascher, D., Paredes, C., Martínez, J.L. (2012). Isolated aorta model and its contribution to Phytopharmacology. Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas. 11. 35-45."
6-3,Cita 2,"Vinet, R., Cortes, M., Alvarez, R., Guzman, L., Flores, E. (2012). Centaurium cachanlahuen (Mol.) Robinson a chilean native plant with a vasodilatory effect. Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas.11. 61-65. "
6-3,Cita 3,"Guzman, L., Depix, M.S., Salinas, A.M., Roldan, R., Aguayo, F., Silva, A., Vinet, R.  (2012). Aberrant methylation of tumor suppressor genes in DNA of sputum samples: A promising tool for lung-diseases diagnosis. Diagnostic Pathology. 11. 35-45."
7-1,Cita 1,"Martínez, J.P., Antúnez, A., Pertuzé, R., Acosta, M.P., Palma, X., Fuentes, L., Ayala, A., Araya, H., Lutts, S. (2012). Effects of saline water on water status, yield and fruit quality of wild (Solanum chilense) and domesticated (Solanum lycopersicum var. Cerasiforme) tomatoes. Experimental Agriculture, 48 , pp 573-586 doi:10.1017/S001447971200066X."
7-1,Cita 2,"Martinez, J.P., Antunez, A., Pertuzé, R., Palma, X., Araya, H. (2012). Effect of saline stress on plant growth and leaf antioxidant activity of wild and cherry cropped tomato. Acta Hort. (ISHS) 932:313-320."
7-1,Cita 3,"Vromman, D., Flores-Bavestrello, A.,  Šlejkovec, Z.,  Lapaille, S., Teixeira-Cardoso, C.,  Briceño, M., Kumar, M.,  Martínez,  J.P., Lutts, S. (2011). Arsenic accumulation and distribution in relation to young seedling growth in Atriplex atacamensis Phil. Science of the Total Environment 412-413: 286–295."
7-1,Cita 4,"Martinez, J.P., Araya, H. (2010). Ascorbate-glutation cycle: enzymatic and non enzymatic integrated mechanisms and its biomolecular regulation. In : Ascorbate-glutathion pathway and stress tolerance in plant. Anjum, Naser A.; Chan, Ming-Tsair ; Umar, Shahid (Eds). 1st Edition, 2010, 400 p., Springer. Amsterdam."
7-1,Cita 5,"Martinez, J. P., Antúnez, A., Pertuze, R., Palma, X., Araya, H. (2010). Effect of Saline Stress on Plant Growth and Leaf Antioxidant Activity of Wild and Cherry Cropped Tomato. Acta Horticulturae. 28th International Horticultural Congress. Lisboa Congress Centre I, enviada Agosto 2010."
7-1,Cita 6,"Martinez, J. P., Antúnez, A., Pertuze, R., Palma, X., Araya. (2010). Effect of Saline Stress on Growth and Fruit Quality of Two Tomato Genotypes: Wild and Cherry Cropped at Reproductive Stage. Acta Horticulturae. 28th International Horticultural Congress.Lisboa Congress Centre I, enviada Agosto 2010."
7-1,Cita 7,"Hessini, K., Martinez, J.P., Gandour, M., Albouchi, A., Soltani, A., Abdelly, C. (2009). Effect of water stress on growth, osmotic adjustment, cell wall elasticity and water use efficiency in Spartina alterniflora. Environmental and Experimental Botany 67: 312-319."
8-1,Cita 1,"Vinet, R., Cortés, M., Álvarez, R., Guzmán, L., Flores, E. (2012). Centauriumcachanlahuen (Mol.) Robinson a chilean native plant with a vasodilatory effect. Boletín Latinoamericano y del Caribe de Plantas Medicinales (BLACPMA) 11 (1): 61 – 65"
8-1,Cita 2,"Trefault, N., Guzmán, L., Pérez, H., Godoy, M., González, B. (2009). Involvement of several transcriptionalregulators in the differential expression of tfd genes in Cupriavidusnecator JMP134. Int Microbiol.12 (2):97-106."
8-1,Cita 3,"Cortes, M., Vinet, R. (2012). Monoclonal gammopathy of undetermined significance. Roman Hajek (Book Editor). InTech (En prensa)."
8-1,Cita 4,"Vinet, R., Knox, M., Mascher, D., Paredes-Carbajal, C., Martínez, J.L. (2012). Isolated aorta model and its contribution to Phytopharmacology. Bol Latinoam Caribe Plant Med Aromat 11: 35-45."
8-1,Cita 5,"Vinet, R., Cortés, M.P., Luxoro, M., Delpiano, M.A. (2009). Nicotine-evoked cytosolic Ca2+ increase and cell depolarization in capillary endothelial cells of bovine adrenal medulla. Biological Research 42: 111-119."
9-1,Cita 1,"Zúñiga, M.E., Vega, R. (2012). Potential application of comercial enzyme preparations for industrial production of short chain fructooligosaccarides. Journal of Molecular Catalysis B: Enzymatic. 76. 44 – 51."
9-1,Cita 2,"Zúñiga, M.E., Pérez, E., Caballero, E., Fernández, J. (2012). Effect of a commercial pectinmethylesterase on tomato paste consistency. Electronic Journal of Biotechnology. 15 (3). http://dx.doi.org/10.2225/vol15-issue3-fulltext-5"
9-1,Cita 3,"Concha, J., Zúñiga, M.E. (2012). Enzymatic Depolymerization of Sugar Beet Pulp: Production and Characterization of Pectin and Pectic-Oligosaccharides as A Potential Source for Functional Carbohydrates. Chemical Engineering Journal, Vol. 192 pp. 29-36, doi: 10.1016/j.cej.2012.03.085 "
9-1,Cita 4,"Araya, I., Zúñiga, M.E. (2012). Antihypertensive activity of different protein hydrolysates from defatted rapeseed meal. New Biotechnology vol. 29, pp. S227-S228. DOI: 10.1016/j.nbt.2012.08.196. ISSN: 1871-6784."
9-1,Cita 5,"Zúñiga, M.E., Vega, R. (2012). Potential aplication of comercial enzyme preparations for industrial production of short chain fructooligosaccarides. Journal of Molecular Catalysis B: Enzymatic. 76. 44-51."
9-1,Cita 6,"Zúñiga, M.E., Vega, R. (2011). Enzymatic synthesis of fructooligosaccarides with high 1-kestose concentrations using response surface methodology bioresource technology. Bioresource Technology. 102 (22). 10180-10186."
9-1,Cita 7,"Zuñiga, M.E., Soto, C., Concha, J., Pérez, E. (2011). Application of Enzyme-assisted Oil Extraction Technology in the Processing of Nutraceuticals and Functional Foods. Handbook of Nutraceuticals, Volume II: Scale up, Processing and Automation."
9-1,Cita 8,"Laroze, L., Soto, C. and Zuniga, M.E. (2010). Phenolic antioxidants extraction from raspberry wastes assisted by-enzymes. Electronic Journal of Biotechnology. 13 (6). Online."
9-1,Cita 9,"Laroze, L., Díaz, B., Moure, A., Zúñiga, M.E., Dominguez, H. (2010). Extraction of antioxidants from several berries pressing wastes using conventional and supercritical solvents. European Food Research and Technology. 231 (5). 669 – 677."
9-1,Cita 10,"Soto C., Zúñiga, M.E. (2010). Polyunsaturated fatty acid enrichment using a Candida cylindracea lipase. Journal of Biotechnology. 150S. 416-417."
9-1,Cita 11,"Laroze, L., Zúñiga, M.E. (2010). Effect of enzyme concentration on hydroethanolic extraction of phenolic antioxidants from raspberry residues. Journal of Biotechnology. 150. 338."
9-1,Cita 12,"Vega, R., Zúñiga, M.E. (2010). Sucrose Transfructosylation to Fructooligosaccharides by the Application of Commercial Enzymes. Journal of Biotechnology. 150S. 334"
9-1,Cita 13,"Correa, G., Silva, C., Poirrier, P., Zuñiga, M. (2010). Technical And Economic Prefeasibility Of A Fructooligosaccharides Production Plant By Enzymatic Transformation Of Thick Sugar Beet Juice. Journal of Biotechnology. 150S. 337."
9-1,Cita 14,"Zuñiga, M.E., Poirrier, P., Soto, C. (2010). Effect of solvent type on Rubus ulmifolius (Blackberry)’s phenolic antioxidant recovery. Journal of Biotechnology. 150S (1). 330."
9-1,Cita 15,"Correa, G., Siva, C., Poirrier, P., Zuñiga, M.E. (2010). Technical and economic prefeasibility of a fructooligosaccharides production plant by enzymatic transformation of thick sugar beet juice.  Journal of Biotechnology. 150S (1). 337."
9-1,Cita 16,"Zuñiga, M.E., Laroze, L. (2010). Effect of enzyme concentration on hydroethanolic extraction of phenolic antioxidant from raspberry residues. Journal of Biotechnology. 150S (1). 338."
9-1,Cita 17,"Soto, C., Zuñiga, M.E. (2010). Growth of Bifidobacterium breve bacteria using different corn oil amounts in the broth media. Journal of Biotechnology. 150S (1). 332."
9-1,Cita 18,"Zárate, G., Palacios, J., Valenzuela, A., Gentina, J.C., Poirrier, P., Zúñiga, M.E., Perez, A. (2010). Crecimiento y fermentación de oligosacáridos con potencial prebiótico por propionibacterias lácteas. Revista Argentina de Microbiología. Supl. 1, Vol 42, 2010. (SCIELO)."
9-1,Cita 19,"Zúñiga, M.E., Laroze, L. (2009). Temperature effect on phenolic antioxidant extraction from raspberry wastes assisted by enzymes. New Biotechnology. 25. 170."
9-1,Cita 20,"Zúñiga, ME., Laroze, L. (2009). Effect of ethanol concentration on enzymatically assisted phenolic antioxidant extraction from raspberry wastes. New Biotechnology. 25. 148."
9-1,Cita 21,"Zúñiga, ME., Poirrier, P., Soto, C. (2009). Raw material pre-treatment effect on the phenolic antioxidants extraction of berries and their concentrated processing wastes. New Biotechnology. 25. 180."
9-1,Cita 22,"Soto,C., Concha, J., Zúñiga, M.E. (2008). Antioxidants Contents in Oil and Defatted Meal of Borage Seeds Produced by Enzymatic-Assisted Cold Pressing. International Process Biochemistry 43:696–699."
9-1,Cita 23,"Soto, C., Conde, E., Moure, A., Zúñiga, M.E., Domínguez, H. (2008). Supercritical extraction of borage seed oil coupled to conventional solvent extraction of antioxidants. European Journal of Lipid Science and Technology. 110:1035-1044."
9-1,Cita 24,"Laroze, L., Zúñiga, M.E., Soto, C. (2008). Raspberry phenolic antioxidants extraction. Journal of Biotechnology 136S: S728."
9-2,Cita 1,"P. Valencia, S. Flores, L. Wilson, A. Illanes. (2012) Batch reactor performance for the enzymatic synthesis of cephalexin: Influence of catalyst enzyme loading and particle size. New Biotechnology 29:218-226."
9-2,Cita 2,"O. Romero, J.M. Guisán, A. Illanes, L. Wilson. (2012) Reactivation of penicillin acylase biocatalysts: Effect of the intensity of enzyme–support attachment and enzyme load. Journal of Molecular Catalysis B: Enzymatic 74:224-229."
9-2,Cita 3,"A. Illanes, A. Cauerhff, L. Wilson, G. Castro. Recent trends in biocatalysis engineering. Bioresource Technology 115:48-57, 2012"
9-2,Cita 4,"A. Olivares, I. Martinez, A. Illanes (2012) Enzyme assisted fractionation of wood sterols mixture by short path distillation. Chemical Engineering Journal 191: 557-562"
9-2,Cita 5,"Bahamondes, C., Wilson, L., Aguirre, C., Illanes, A. (2012) Comparative study of the enzymatic synthesis of cephalexin at high substrate concentration in aqueous and organic media using statistical model. Biotechnology and Bioprocess Engineering 17( 4 ): 711-721."
9-2,Cita 6,"C. Vera, C.Guerrero, R. Conejeros, A. Illanes (2012) Synthesis of galacto-oligosaccharides by β-galactosidase from Aspergillus oryzae using partially dissolved and supersaturated solution of lactose. Enzyme and Microbial Technology 50: 188-194."
9-2,Cita 7,"L. Álvarez, F. Acevedo, A. Illanes. (2011) Induction of NAD+ dependent alcohol dehydrogenases with activity towards long chain aliphatic alcohols in mesophilic, thermophilic and extreme thermophilic microorganisms. Process Biochemistry 46: 1342-1349."
9-2,Cita 8,"P. Valencia, S. Flores, L. Wilson, A. Illanes. (2011) Effect of internal diffusional restrictions on the hydrolysis of penicillin G: reactor performance and specific productivity of 6-APA with immobilized penicillin acylase. Applied Biochemistry and Biotechnology 165:426-441."
9-2,Cita 9,"C. Vera, C. Guerrero, A. Illanes, R. Conejeros. (2011) A pseudo steady-state model for galacto-oligosaccharides synthesis with β-galactosidase from Aspergillus oryzae. Biotechnology and Bioengineering 108: 2270-2279."
9-2,Cita 10,A. Illanes. (2011) Whey upgrading by enzyme biocatalysis. Electronic Journal of Biotechnology 14(6): Doi: 10.2225/ vol14-issue6-fulltext-11.
9-2,Cita 11,"N. Fauré, A. Illanes. (2011) Immobilization of Pseudomonas stutzeri lipase for the trnsesterificatioon of wood sterols with fatty acid esters. Applied Biochemistry and Biotechnology 165:1332-1341."
9-2,Cita 12,"C. Guerrero, C. Vera, F. Plou, A. Illanes. (2011) Influence of reaction conditions on the selectivity of the synthesis of lactulose with microbial β-galactosidases. Journal of Molecular Catalysis B: Enzymatic 72 (2011) 206–212"
9-2,Cita 13,"L.M.Huerta, C. Vera, C. Guerrero, L.Wilson, A. Illanes. (2011) Synthesis of galacto-oligosaccharides at very high lactose concentrations with immobilized b-galactosidases from Aspergillus oryzae.; Process Biochemistry , 46:245-252."
9-2,Cita 14,"E. Tymczyszyn, E. Gerbino, A. Illanes, A. Gómez-Zavaglia, (2011). Galacto-oligosaccharides as protective molecules in the preservation of Lactobacillus delbrueckii subsp. bulgaricus.; Cryobiology ., 62:123-129."
9-2,Cita 15,"C. Vera, C. Guerrero, A. Illanes.(2011).  Determination of the transgalactosylation activity of Aspergillus oryzae β-galactosidase: effect of pH, temperature and galactose and glucose concentrations. Carbohydrate Research
doi:10.1016/j.carres.2011.01.030."
9-2,Cita 16,"P. Valencia, S. Flores, L. Wilson, A. Illanes. (2010). Effect of particle size distribution on the simulation of immobilized enzyme reactor performance. Biochemical Engineering Journal 49(2): 256-263."
9-2,Cita 17,"V. Miranda, L. Wilson, C. Cárdenas, A. Illanes. (2010).  Reactivation of immobilized penicillin G acylase: Influence of cosolvents and catalytic modulators. Journal of Molecular Catalysis B: Enzymatic 68:77-82."
10-1,Cita 1,"Quesille-Villalobos, A.M., Saavedra-Torrico, J., Ranilla, L.G. (2012). Phenolics compounds, antioxidant capacity and in vitro α-amylase inhibitory potential of tea infusions (Camellia sinensis) commercialized in Chile. CyTA-Journal of Food. (En prensa) ISI."
10-1,Cita 2,"Ranilla, L. G., Apostolidis, E., Shetty, K. (2012). Ultraviolet protective properties of Latin American herbs in S. cerevisiae and likely mode of action through the proline-linked pentose phosphate pathway: focus on the Yerba Mate tea (Ilex paraguariensis). Journal of Food Biochemistry. Vol. 36, p 322-333, ISI."
10-1,Cita 3,"Ranilla, L. G., Apostolidis, E., Shetty, K. (2012). Antimicrobial activity of an Amazon medicinal plant (Chancapiedra) against Helicobacter pylori and lactic acid bacteria. Phytotherapy Research. Vol. 26, p. 791-799, ISI."
10-1,Cita 4,"Saavedra, J., Cordova, A., Navarro, R., Gálvez, L., Quezada, C. (2012). Comparative analysis of univariate and multivariate deterioration kinetics using principal components analysis (PCA). Vitae 19, Supl (1)."
10-1,Cita 5,"Ranilla, L. G., Kwon, Y-I., Apostolidis, E., Shetty, K. (2010). Phenolic compounds, antioxidant activity and in vitro inhibitory potential against key enzymes relevant for hyperglycemia and hypertension of commonly used medicinal plants, herbs and spices in Latin America. Bioresource Technology. Vol. 101, p.4676-4689, ISI."
11-1,Cita 1,"Henríquez, C., Almonacid, S., Lutz, M., Simpson, R., Valdenegro, M. (2012). Comparison of three drying processes to obtain an apple peel food ingredient. J Food CyTA (doi: 10.1080/19476337.2012.703693) "
11-1,Cita 2,"Lutz, M. (2012). ¿Podemos hablar de alimentos funcionales en Chile? Revista Chilena de Nutrición 39 (2): 211-216. "
11-1,Cita 3,"Lutz, M., Cajas, Y., Henríquez, C. (2012). Phenolics content and antioxidant capacity of Chilean grapes cv. País and Cabernet Sauvignon. J Food CyTA 10 (1): 1-7. "
11-1,Cita 4,"Cancino-Madariaga, B., Ruby, R., Astudillo, C., Saavedra, J., Lutz, M. (2012). Analysis of the membrane fouling mechanisms involved in clarified grape juice ultrafiltration using statistical tools. Ind Eng Chem Res 51: 4017-4024. "
11-1,Cita 5,"Henríquez, C., Lutz, M. (2012). Deshidratación de alimentos y su efecto sobre los compuestos fenólicos. Indualimentos 14 (76): 12-14. "
11-1,Cita 6,"Madrid, A., Espinoza, L., Gonzalez, C., Mellado, M., Villena, J., Santander, R., Silva, V., Montenegro, I. (2012). Antifungal study of the resinous exudate and of meroterpenoids isolated from Psoralea glandulosa (Fabaceae). J Ethnopharmacol. [Disponible en línea] http://dx.doi.org/10.1016/j.jep.2012.10.027 "
11-1,Cita 7,"Baeza, E., Catalán, K., Villena, J., Carrasco, H., Cuellar, M., Espinoza, L. (2012). Synthesis and cytotoxic activity of geranylmethoxyhydroquinone derivatives. J Chilean Chem Soc 57: 1219-1223. "
11-1,Cita 8,"Baeza, E., Catalán, K., Peña-Cortés, H., Espinoza, L., Villena, J., Carrasco, H. (2012). Synthesis of geranylhydroquinones derivatives with potencial cytotoxic activity. Quimica Nova 35 (3): 523-526. "
11-1,Cita 9,"Godoy-Guzmán, C., San Martín, S., Pereda, J. (2012). Proteoglycan and collagen expression during human air conducting system development. Eur J Histochem 56: 179-184. "
11-1,Cita 10,"Chabert, S., Villalobos, M., Ulloa, P., Salas, R., Tejos, C., San Martin, S., Pereda, J. (2012). Quantitative description of the morphology and ossification center in the axial skeleton of 20-week gestation formalin-fixed human fetuses using magnetic resonance images. Prenat Diagn 32(3):252-258. "
11-1,Cita 11,"Krause, B.J., Prieto, C.P., Muñoz-Urrutia, E., San Martín, S., Sobrevia, L., Casanello, P. (2012). Role of arginase-2 and eNOS in the differential vascular reactivity and hypoxia-induced endothelial response in umbilical arteries and veins. Placenta 33(5): 360-366. "
11-1,Cita 12,"Muñoz, P., Humeres, A. (2012). Iron deficiency on neuronal function. Biometals May 26 [Epub ahead of print]. "
11-1,Cita 13,"Muñoz, P. (2012). Iron- mediated redox modulation in neural plasticity. Commun Integr Biol 5: 1–3. "
11-1,Cita 14,"Braidy, N., Muñoz, P., Palacios, A.G., Castellano-Gonzalez, G., Inestrosa, N.C., Chung, R.S., Sachdev, P., Guillemin, G.J. (2012). Recent rodent models for "
11-1,Cita 15,"Henríquez, C., López-Alarcón, C., Gómez, M., Lutz, M., Speisky, H. (2011). Time-dependence of Ferric Reducing Antioxidant Power (FRAP) index in apples and berries. Arch Latinoamer Nutr 61 (3): 323-332. "
11-1,Cita 16,"Lutz, M., Jorquera, K., Cancino, B., Ruby, R., Henríquez, C. (2011). Phenolics and antioxidant capacity of table grape (Vitis vinifera L.) cultivars grown in Chile. J Food Sci 76 (7): C1088-C1093. "
11-1,Cita 17,"Lutz, M., Henríquez, C., Escobar, M. (2011). Chemical composition and antioxidant properties of mature and baby artichokes (Cynara scolymus L.), raw and cooked. J Food Comp Anal 24: 49-54. "
11-1,Cita 18,"Henríquez, C., Lutz, M. (2011). Fibra Dietética: Ingrediente con propiedades
bioactivas. Indualimentos 13 (69): 120-122. "
11-1,Cita 19,"Lutz, M. (2011). Soy Isoflavones as Bioactive Ingredients of Functional Foods. En: Soybean and Health, Hany El-Shemy (Ed.), InTech, pp 329-360. "
11-1,Cita 20,"San Martin, S., Alaminos, M., Zorn, T.M., Sánchez-Quevedo, M.C., Garzón, I., Rodriguez, I.A., Campos, A. (2011). The effects of fibrin and fibrin-agarose on the extracellular matrix profile of bioengineered oral mucosa. J Tissue Eng Regen Med (doi: 10.1002/term.490) "
11-1,Cita 21,"Zorn, T.M., Zúñiga, M., Madrid, E., Tostes, R., Fortes, Z., Giachini, F., San Martín, S. (2011). Maternal diabetes affects cell proliferation in developing rat placenta. Histol Histopathol 26(8):1049-1056. "
11-1,Cita 22,"Iñiguez, G., Argandoña, F., Medina, P., González, C., San Martín, S., Kakarieka, E., Johnson, M.C., Cassorla, F. (2011). Acid-labile subunit (ALS) gene expression and protein content in human placentas: differences according to birth weight. J Clin Endocrinol Metab 96:187-191. "
11-1,Cita 23,"Thomet, F.A., Piñol, P., Villena, J., Reveco, P.G. (2011). In vitro cytotoxic evaluation of a novel phosphinyl derivative of boldine. Molecules 16: 2253-2258. "
11-1,Cita 24,"Gaete, L., Tchernitchin, A.N., Bustamante, R., Villena, J., Lemus, I., Gidekel, M., Cabrera, G., Carrillo, O. (2011). Genistein selectively inhibits estrogen-induced cell proliferation and some other responses to hormone stimulation in the prepubertal rat uterus. J Med Food 14: 1597-1603. "
11-1,Cita 25,"Madrid, A., Espinoza, L., Montenegro, I., Villena, J., Carrasco, H. (2011). New catechol derivatives of safrole and their antiproliferative activity towards breast cancer cells. Molecules 16: 4632-4641. "
11-1,Cita 26,"Muñoz, P., Humeres, A., Elgueta, C., Kirkwood, A., Hidalgo, C., Nunez, M.T. (2011). Iron mediates N-Methyl-D-aspartate receptor-dependent stimulation of calcium-induced pathways and hippocampal synaptic plasticity. J Biol Chem 286: 13382–13392. "
11-1,Cita 27,"Lutz, M. (2010). Alimentos Funcionales: ¿Cómo validar sus efectos saludables? Énfasis – Alimentación Latinoamérica 9: 16-19. "
11-1,Cita 28,"Espinoza, L., Madrid, A., Taborga, L., Villena, J., Cuellar, M., Carrasco, H. (2010). Synthesis of nine derivatives of safrole and their assay of inhibition in the growth of human Cancer Cells. J Chilean Chem Soc 55: 163-166. "
11-1,Cita 29,"Gaete, L., Tchernitchin, A.N., Bustamante, R., Villena, J., Ferrada, K., Erazo, S., García, R., Lemus, I. (2010). Biological activity of genistein and soy extracts: Selective induction of some but not all estrogenic responses in the prepubertal rat "
